quote,author,category
"Isn’t it time that, loving, we freed ourselves from the beloved, and, trembling, endured:as the arrow endures the bow, so as to be, in its flight, something more than itself?","Rainer Maria Rilke, Duino Elegies","endurance, growth, love, poetry, self-reliance"
Poems are like dreams: in them you put what you don't know you know.,"Adrienne Rich, Arts of the Possible: Essays and Conversations","poetry, poets, women-poets"
Wisdom comes from the internalization and reflection of experience.,Debasish Mridha,"debasish-mridha, inspirational, internalization, philosophy, quotes"
We shall never arrive at true meekness by any other way than by humiliating ourselves and by honoring others from the depth of our hearts.,John Calvin,"devotional, inspiring"
"I think the greatest of people that have ever been in society, they were never versions of someone else. They were themselves.",Neil deGrasse Tyson,"people, greatest, think "
There's a part of me that thinks perhaps we go on existing in a place even after we've left it.,"Colum McCann, Let the Great World Spin","afterlife, travel"
"Whoever shall call on God, shall be saved.",Lailah Gifty Akita,"answered-prayer, christian, faith, grace, inner-strength"
What you do without expectations defines your success.,Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
The Lord himself lead the way to the holy heavens.,Lailah Gifty Akita,"christianity, god, heavens, inspiring, life"
Hope is the grace of a happy heart.,Lailah Gifty Akita,"grace, happiness, hope, life"
Reach out for the heavenly blessings!,Lailah Gifty Akita,"abundant-life, blessings, christian, prayer, reach-out"
"Most of my writing life consist of nothing more than unglamorous, disciplined labor. I sit at my desk and I work like a farmer, and that's how it gets done.","Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear","life, live, work, writing"
You can either worry or wonder. The best choice is to wonder.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","advice, christian-life, creativity, daily-life, faith"
"If you are 100% sure that you live, why don´t you live 100%?",Alin Sav,"inspirational, philosophy"
"I am writing in the garden. To write as one should of a garden one must write not outside it or merely somewhere near it, but in the garden.",Frances Hodgson Burnett,"craft, inspiration, writing"
Making name for yourself requires you not to stop and consider you have done enough but rather continue to move forward,Sunday Adelaja,"calling, fact, fame, famous, hard-work"
"Sometimes we need to just brush away our pride, break down the walls around our hearts, and open up to those we truly care for.",Imania Margria,"author, dreams, friendship, friendship, goals"
May my soul radiate light and love.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","abundant-life, blessed-life, calling-people, christian, destiny"
A man is what he thinks about all day long.,Ralph Waldo Emerson,positive
"I learned early and at that kitchen table that there are ways of avoiding, without guilt, the commitments of love.","P.D. James, The Children of Men","avoid, humor, humour, love, theo"
Sometimes words are just a crude translation of love.,Saleem Sharma,"beautiful, expression, love, translation"
"Hold the flame of faith, it quench all doubt of darkness.",Lailah Gifty Akita,"darkness, doubt, faith, inspirational"
"Alas, my lord, your wisdom is consumed in confidence.",William Shakespeare,"caesar, calpurnia, confidence, julius-caesar, william-shakespeare"
"Man, being reasonable, must get drunk; the best of life is but intoxication.",Lord Byron,"life, man, drunk "
"I want to write about people who dream and wait for the night to end, who long for the light so they can hold the ones they love.","Haruki Murakami, After the Quake","dream, love, writing"
"When exercising gifted will-power, move boldly without hesitation. The reward for such decisiveness is increased confidence in what the heart knows, which the mind does not feel","T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with ""The Divine Presence""","bold, confidence, confident, decisiveness, determination"
"I have sometimes sacrificed freedom in order to belong, but more often I have given up all hope of belonging.","Jeanette Winterson, The World and Other Places: Stories","belonging, freedom"
"Being a wizard gives you more power than most, but it doesn't change your heart. We're all human. We're all of us equally naked before the jaws of pain.","Jim Butcher, White Night","harry-dresden, pain, power"
We are the change we have been waiting for.,Barack Obama,"carpe-diem, change"
Sometimes what we want isn't what we need.,"Gena Showalter, The Darkest Night",truth
Confidence and hope builds up in you when you have a glimpse of what your future is like,Sunday Adelaja,"builds, confidence, hope"
"Even though human life may be the most precious thing on earth, we always behave as if there were something of higher value than human life.","Antoine de Saint-Exupéry, Night Flight","life, worth"
The more I want to get something done the less I call it work.,Richard Bach,"goals, work"
"None should say : 'I can trust,' or 'I cannot trust' until he is a master of the option, of trusting or not trusting.","Idries Shah, Reflections","trust, trustworthiness"
Let every hindrance to joy become the soil out of which joy blossoms.,Elizabeth George,"believe, blossom, christian, faith, god"
An act of goodness is of itself an act of happiness.,Maurice Maeterlinck,"helping, people"
"Colourful lips are pretty, child but they also speak colourful lies.",J. Limbu,"girl, human, humour, lies, truth"
nothing in this world was more difficult than love.,Gabriel García Márquez,"life, love, reality, relationships"
Adversity is a spiritual awaken in every soul.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","adversity, awakened-soul, insping, spiritual, wise-sayings"
Those who walk the talk get the work.,"Gina Greenlee, Postcards and Pearls:Life Lessons from Solo Moments in New York"," travel, travel-writing, traveling"
Sometimes one doesn't have to be part of the experience to realize and learn from the experience.,Unarine Ramaru,"experience, friendship, life"
People take different roads seeking fulfillment and happiness. Just because they're not on your road doesn't mean they've gotten lost.,"H. Jackson Brown, Jr.","road, lost, people "
"It should be made clear that religious freedom DOES NOT include the right to persecute others, nor the right to take away their humanity and equal treatment before the law.","Christina Engela, Autumn Burning: Dreadtime Stories for the Wicked Soul","equal-treatment, humanity, include, law, persecute"
"To the question: Wilderness, who needs it? Doc would say: Because we like the taste of freedom, comrades. Because we like the smell of danger. But, thought Hayduke, what about the smell of fear, Dad?","Edward Abbey, The Monkey Wrench Gang","danger, edward-abbey, fear, freedom, wilderness"
Any fool can start a religion. And many do.,Fakeer Ishavardas,"god, satire"
Faith in God gives faith in self.,"Lailah Gifty Akita, Think Great: Be Great!","christian-life, faith, god, hope, motivational"
"Narcissism makes people incapable of looking beyond themselves, beyond their own desires and needs.","Pope Francis, Amoris Laetitia: Apostolic Exhortation on the Family","catholicism, family"
"In any society, fanatics who hate don't hate only me - they hate you, too. They hate everybody.",Elie Wiesel,"hate, me, you "
Embrace your responsibility to dream big.,"Kevin Michel, Moving Through Parallel Worlds To Achieve Your Dreams","ambitions, bhag, dream, dreams, goals"
"Three things to help keep your brain cells awake and alert ... drink plenty of clean water, get plenty of deep sleep, and let your imagination soar to places it's never dared venture.",Toni Sorenson,"brain, imagination, inspiration, life"
"Talking to Rhett was comparable only to one thing, the feeling of ease and comfort afforded by a pair of old slippers after dancing in a pair too tight.","Margaret Mitchell, Gone with the Wind","conversation, love, rhett-butler, talking"
Never fear what people will say... Never think you can't do it because it was never done before! You can be the source of change that is suspending for quite a long period now! You too can fly!,"Israelmore Ayivor, The Great Hand Book of Quotes","afraid, fear, fly, fly-high, israelmore-ayivor"
A bird that fears falling off of a tree branch is ignorant of its gifts.,Matshona Dhliwayo," bird, faith, fear-quote, fear, genius-quote"
It is impossible for an uneducated man to rebel.,Paul Bamikole,"education, impossible, man, rebel"
"I find my greatest pleasure, and so my reward, in the work that precedes what the world calls success.",Thomas A. Edison,"work, world, greatest "
"Mirror, mirror on the wall, who's the hottest bitch of all?","Sara  Humphreys, Luck of the Irish","fairytale, ireland, leprechauns, romance, warlocks"
"But love, I’ve come to understand, is more than three words mumbled before bedtime. Love is sustained by action, a pattern of devotion in the things we do for each other every day.","Nicholas Sparks, The Wedding","love, romance"
"listen to me,you’ve got this.seriously, you’ve got this.",Scott Stabile,"encouragement, motivation"
"These are all novels, all about people that never existed, the people that read them it makes them unhappy with their own lives. Makes them want to live in other ways they can never really be.","Ray Bradbury, Fahrenheit 451",books
"What these men represented was not 'The West' but what was for this century a relatively new kind of monied class in America, a group devoid of social responsibilities because their ties to any one place had been so attenuated.","Joan Didion, Vintage Didion","economics, politics"
"Every child gets a good mother, but not every mother gets a good child.",Amit Kalantri,"amit-kalantri, child, children, daughter, good"
"Age does not make us childish, as some say; it finds us true children.",Johann Wolfgang von Goethe,"age, children, happiness"
Let us not look back in anger  nor forward in fear  but around us in awareness.,James Thurber,courage
Any prophet who does not refer you to christ is not a true prophet.,"Patience Johnson, Why Does an Orderly God Allow Disorder","artpolitics, beauty, change, christianity, dreams"
Keep your heart always warm.,"Lailah Gifty Akita, Think Great: Be Great!","habits, happiness, healthy-living, jopy, life"
I don't understand your book. Isn't every book a book of words?,"Kristin Cashore, Bitterblue","bitterblue, books, dictionary, kristin-cashore"
"Every child should be taught how to think, read and write.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","child, children, curriculum, education, formal-education"
Don't ignore the love you DO have in your life by focusing on the love you DON'T.,"Mandy Hale, The Single Woman: Life, Love, and a Dash of Sass","being-single, blessings, contentment, finding-love, friendship"
"Read no history: nothing but biography, for that is life without theory.",Benjamin Disraeli,"life, nothing, without "
"The mind is an instrument made up of universal consciousness, egocentric consciousness, societal consciousness, along with education, values, virtues, judgment and wisdom.",Debasish Mridha,"consciousness, debasish-mridha, education, egocentric-consciousness, inspirational"
"I prefer peace. But if trouble must come, let it come in my time, so that my children can live in peace.",Thomas Paine,"children, peace, live "
Failure is a fundamental piece of success.,"Ben Tolosa, Masterplan Your Success","failure, success"
"To find beauty, look above the boundaries of conformity.",Debasish Mridha,"beauty, conformity, debasish-mridha"
Travel is fatal to prejudice  bigotry and narrow-mindedness.,Mark Twain,"travel, travellers"
"Life is share, sacrifice and service.",Lailah Gifty Akita,"humanity, life, sacrifice, service, sharing-life"
Motivating others leads to success whereas inspiring others leads to greatness.,Ken Poirot," greatness, greatness-quote, greatness, inspiration, inspiration-quote"
"You Keep Looking at what you want but you can’t have it , and once you have it it will never be the same.",Sami Abouzid,love
"Ordinary courage is about putting our vulnerability on the line. In today’s world, that’s pretty extraordinary.","Brené Brown, The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are",courage
It is an acknowledged fact that we perceive errors in the work of others more readily than in our own.,Leonardo da Vinci,"cognitive-bias, psychology"
I thought I had everything until I found you.,Turcois Ominek,"letters, life, life-lessons, love, lovers"
"We failed, but in the good providence of God apparent failure often proves a blessing.",Robert E. Lee,"good, god, blessing "
No true...father would be unconcerned about discord in his family that may cause it to disintegrate in his absence...,Janvier Chouteu-Chando,"family-relationships, fatherhood, inspirational, motivational, parenthood"
"He was, after all, just a man. And not merely a narrative.","Hanif Kureishi, The Last Word","man, narative"
"Lovers, forget your love,And list the love of these,She a window flower,And he a winter breeze.","Robert Frost, A Boy's Will","lovers, nature, poetry"
"There is no feeling, except the extremes of fear and grief, that does not find relief in music.",George Eliot,"feelings, music"
Undecided thoughts’ is called the mind. ‘Decided thoughts’ is called the intellect.,Dada Bhagwan,"spiritual, spiritual, thoughts"
The worst crime is faking it,Kurt Cobain,"be-yourself, life, truth"
"Without darkness, how could we have appreciated the light?","Lailah Gifty Akita, Think Great: Be Great!","belief, christian, darkness, faith, inspirational"
"Before I fellin love with words,with setting skies and singing birds—it was you I fellin love with first.","Lang Leav, Love & Misadventure","love, romance"
What is the difference between disrespect (avinay) and despise (viradhana)? Disrespect (avinay) means one shows lack of respect and to despise (viradhana) means one becomes an adversary (opponent).,Dada Bhagwan,"adversary, despise, disrespect, spiritual, spiritual"
"Wherever you go, whenever you meet someone, enlighten every mind, brighten their life with love and kindness, it will make your world so delightful and so beautiful.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
"A woman brings so much more to the world than birth, for she can birth discovery, intelligence, invention, art, just as well as any man.","Shannon Celebi, Small Town Demons","art, birth, discovery, feminism, feminist"
"Get over it, Roo. If you have friends who actually like you, you’re popular enough.","E. Lockhart, Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","friendship, popularity"
"It's not how long you see something. It's how you intensely you feel it""From Central Park Song: a Screenplay","Zack Love, Stories and Scripts: an Anthology","central-park, encounter, heartwarming, inspirational, interracial-romance"
We are the same people as we were at three  six  ten or twenty years old. More noticeably so  perhaps  at six or seven  because we were not pretending so much then.,Agatha Christie,"self, knowledge"
"I don't argue things being spiritual vs scientific, because I've never met anyone who knows enough about either to be convincing--including myself.",S. Kelley Harrell," shamanism, spirituality"
"Let them howl. Let the wolves pant. You have evolved. You were not fashioned to run in a pack, or to be defined by the opinions of those who wish to limit your creativity. Let them howl. Let the wolves pant.","Alfa H, Abandoned Breaths","inspiration, life, opinions, wolves"
Do you ever wonder about the fairy tales of life?,"Lailah Gifty Akita, Think Great: Be Great!","ask, belief, christian-life, fairy-tales, inspirational"
Religion is just mind control.,George Carlin,"mind, control, just "
"Let your judgements have their own quiet, undisturbed development, which must, like all progress, come from deep within, and cannot in any way be pressed or hurried.","Rainer Maria Rilke, Letters to a Young Poet","judgement, thoughts"
To bind one free man with love is better than to release a thousand slaves.,"Idries Shah, The Dermis Probe","evolution, freedom, omar-khayyam, psychology, slavery"
"Many of us saw religion as harmless nonsense. Beliefs might lack all supporting evidence but, we thought, if people needed a crutch for consolation, where's the harm? September 11th changed all that.",Richard Dawkins,"critical, religion, science, thinking"
Fear is static that prevents me from hearing myself.,Samuel Butler,"myself, me, hearing "
Whatever you don't completely reject outright is taken as acceptance by reality.,"Steven Redhead, Life Is Simply A Game","acceptance, completely, reality, reject"
"If what he said was the truth, it broke her heart. If what he said was a lie, it was broken anyway.","Christine Feehan, Oceans of Fire","break, heart, lies, truth"
"A woman must prefer her liberty over a man. To be happy, she must. A man to be happy, however, must yearn for his woman more than his liberty. This is the rightful order.","Roman Payne, Hope and Despair","adventure, adventuress, bravery, courage, dance"
I generally avoid temptation  unless I can't resist it.,Mae West,religion
"I have no culture, no humane harmony in my brains. I can't live without a culture anymore.","Kurt Vonnegut Jr., Breakfast of Champions","culture, humor"
Don't believe everything you think. Thoughts are just that - thoughts.,"Allan Lokos, Pocket Peace: Effective Practices for Enlightened Living","compassion, illusion, mindfulness, reality, thinking"
"No one makes history, no one sees it happen, no one sees the grass grow.",Boris Pasternak,"history, life"
"I love new clothes. If everyone could just wear new clothes everyday, I reckon depression wouldn’t exist anymore.","Sophie Kinsella, Confessions of a Shopaholic","clothes, fashion, humor"
Impossibility only lasts until you find new unbelievable hard evidences.,Toba Beta,"belief, inspirational, life, perception, possibility"
Stop worrying about what tomorrow may bring. Focus on what you can control. Stay positive. Enjoy today. Expect good things to come.,Karen Salmansohn,"inspirational-attitude, inspirational, positive-thinking"
God himself made government and gave it an environment of the kingdom,Sunday Adelaja,"god, government, kingdom"
"To enjoy the beauty of the world, don’t try to fit in. Try to fly out of your perceived boundaries.",Debasish Mridha," boundaries, debasish-mridha, inspirational, philosophy, quotes"
Our eyes met and our souls caught on fire.,Nikki Rowe,"brave-heart, chemistry, destiny, fate, love"
"Rain. Tumble, bumble and, fall on me. Any old day, any old way. Come for a visit, or come for a stay. Rain, rain, don't go away.","Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift","carew-papritz, quotes, rain"
"Austerity, if I were to define, I'll say, It's YOU.","Vikrmn, Guru with Guitar","austerity, chartered-accountant, define, gwg, love"
"But then I realize that even if I did have a soul, it’s not as though someone else would be there. It would only be more of me.","Ally Condie, Atlantia",soul
Today’s events are reminiscent of the Old Testament story of how the Israelites demanded a king over God’s objection. They believed that a king would give them peace and security. The results proved otherwise.,"Ron Paul, Liberty Defined: 50 Essential Issues That Affect Our Freedom",politics
"I was surprised. I'd always associated belief in heaven with, frankly, a kind of intellectual disengagement. But Gus wasn't dumb.","John Green, The Fault in Our Stars","afterlife, belief, faith, god, heaven"
I am determined to be a lifelong learner.,Lailah Gifty Akita,"determination, learning, lifelong-learner, self-education, wise-sayings"
"If egoism is there, the benefit of the Self cannot be obtained and if the Self is there, the benefit of egoism cannot be obtained.",Dada Bhagwan,"ego, pure-soul, soul, spiritual, spiritual"
"Heralds don't sing about men who lived in orthodoxy or played it safe, they sing about men who lived an uncertain future and took enough risks to make your head spin.","Evan Meekins, The Black Banner","fantasy, fantasy-fiction, fiction, heroes, legends"
"She had seen this relationship dying before it ever lived, but allowed optimism and lust to blind her.","Thomm Quackenbush, Danse Macabre (Night's Dream, #2)","blind, lust, optimism, relationship"
"To be a rainbow in someone’s cloud is commendable, but I prefer to be the rain because it dampens cheeks and washes away tears.","Richelle E. Goodrich, Slaying Dragons","compassion, kindness, life, love, rain"
"Despite all our gains in technology, product innovation and world markets, most people are not thriving in the organizations they work for.",Stephen Covey,"work, innovation, world "
Not only our future economic soundness but the very soundness of our democratic institutions depends on the determination of our government to give employment to idle men.,Franklin D. Roosevelt,"future, determination, men "
"Unless philosophy can make a Juliet,Displant a town, reverse a prince’s doom,It helps not, it prevails not.","William Shakespeare, Romeo and Juliet",funny
If he believed in souls he would have said she had a good one.,"Salman Rushdie, Two Years Eight Months and Twenty-Eight Nights","love, religion, soul, souls"
"Man needs, for his happiness, not only the enjoyment of this or that, but hope and enterprise and change.",Bertrand Russell,"change, happiness, man "
He who possesses forgiveness is able to enjoy true happiness.,Debasish Mridha,"debasish-mridha, forgiveness, happiness, inspirational, philosophy"
Do not compete with anyone. Seek to exceed your own expectations.,Lailah Gifty Akita,"comparison, compete, encouragement, expectation, positive-thinking"
"I'm fine. Well, I'm not fine - I'm here.""""Is there something wrong with that?""""Absolutely.","Ned Vizzini, It's Kind of a Funny Story","depression, sadness, suicide, therapy"
"If your content is good, your career just started.",Alin Sav,business
"I am incapable of conceiving infinity, and yet I do not accept finity. I want this adventure that is the context of my life to go on without end.","Simone de Beauvoir, La Vieillesse","ageing, inifinity, life, old-age"
"A lie is my attempt to tamper with the truth so that I need not face the truth. Yet as shrewd as I think myself to be, I would be wise to understand that God designed truth as ultimately tamper-proof.","Craig D. Lounsbrough, An Intimate Collision: Encounters with Life and Jesus","adjust, distortions, god, justifications, justify"
"Women have routinely been punished and intimidated for attempting that most simple of freedoms, taking a walk, because their walking and indeed their very beings have been construed as inevitably, continually sexual in those societies concerned with controlling women's sexuality.","Rebecca Solnit, Wanderlust: A History of Walking","feminism, misogyny, nature, rape-culture, travel"
Stop praying to God to change your marriage or your finances because you might end up seeing that you are the one that need the change not your marriage or finances.,"Patience Johnson, Why Does an Orderly God Allow Disorder","art, beauty, books, change, christianity"
A journey begins with a single step,"Ricky Maye, Barefoot Christianity","christian, experiance, faith, journey, life"
Life is an offensive  directed against the repetitious mechanism of the universe.,Alfred North Whitehead,life
"When teaching someone a boundary, they learn less from the enforcement of the boundary, and more from the way the boundary is established.","Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life","boundaries, enforcement, establishment, learning, teaching"
"Change is automatic, but Growth is intentional.",Izey Victoria Odiase,"best, change, entrepreneur, entrepreneurship, entrepreneurship"
"Just preaching ""you are blessed"" to a congregation is like giving them a big fertile land. They need the seeds to plant on it; they need business ideas, a little of which is enough!","Israelmore Ayivor, The Great Hand Book of Quotes","big, bless, blessed, business, business-ideas"
Good  to forgive  Best  to forget.,Elizabeth Barrett Browning,forgiveness
"May the hopes of your heart and dreams of your eyes keep turning into realities. To all women out there: The more you progress, the more humanity progresses.",Sharad Vivek Sagar,"dreams, feminism, heart, hopes, humanity"
Inner voice is the divine voice.,"Lailah Gifty Akita, Think Great: Be Great!","christian-life, faith, hope, inner-self, inspiring"
"Lincoln learned to summon the passions, but he never addressed his audience as sweethearts.","Richard Brookhiser, Founders' Son: A Life of Abraham Lincoln","empathy, manipulation, motivation, rhetoric"
If you would hit the mark  you must aim a little above it: Every arrow that flies feels the attraction of earth.,Henry Wadsworth Longfellow,"goals, ambition"
Moving forward implies MOTION when in all actuality it may be simply standing STILL and seeing the salvation of the Lord.,John Paul Warren,"church, inspiration, leadership, men, motivation"
"We are stardust brought to life, then empowered by the universe to figure itself out—and we have only just begun.","Neil deGrasse Tyson, Astrophysics for People in a Hurry","astronomy, astrophysics, science"
Some people start to live when they die,"Bangambiki Habyarimana, The Great Pearl of Wisdom","bangambiki-habyarimana, fame, famed, famous, life"
"Authors, he thought. Even the sane ones are nuts.","Dan Brown, The Da Vinci Code","authors, on-writing, writers"
"I must not imagine what is ‘not’ as a means of escaping what ‘is’. Rather, I must understand what ‘is’ and imagine how I can make it what it is ‘not’.",Craig D. Lounsbrough,"belief, believe, challenge, change, escape"
"The surface of learning is hearing what your ears aren't prepared to hear, and the core of learning is hearing what your ears don't want to hear.","Criss Jami, Killosophy","challenge, core, hearing, learning, preparation"
God wants to raise rich and successful Christians up whose prosperity will never end,Sunday Adelaja,"christians, end, god, money, prosperity"
"When the expected occurred, never panic, by keep calming, you gain control over the situation.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","accident, adversity, calm, challenges, courage"
I experience the grace of greater power.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","divine-favour, divine-intervention, divine-self, divinity, faith"
"You have some queer friends, Dorothy,' she said.The queerness doesn't matter, so long as they're friends,' was the answer","L. Frank Baum, The Road to Oz","friendship, queer"
"We never want to be taken for granted, but our partners should be able to expect our honest loyalty. That is a powerfully strong foundation block for a relationship. I want to meet the greatest expectations, without being the greatest fraud.","Cathy Burnham Martin, The Bimbo Has Brains: And Other Freaky Facts","expectations, foundation, loyalty, relationships"
Don't try to worry about the things that could've happen. Just wonder about the things that can still happen and fight for them. Because anything worth fighting for will happen in time.,Imania Margria,"author, be-you, be-yourself, believe, dreams"
Mirroring provides social cues through body language and behavior which enable us to develop more empathy and understanding for others.,"Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact"," communication-skills, mindset, mirroring, reciprocity, relationship"
Comedy strikes here... just to reduce pressure and depression.,Deyth Banger,"comedy, depression, pressure"
When a dream of dying actually becomes a chance to live. All you have to do is fall.,"Brynn Myers, Falling Out of Focus",fantasy
"It is unjust, but only Christlike, to suffer persecution for doing what is right.",Joyce Rachelle,"christ, christian-persecution, christian, christianity, false-accusations"
"You took life by the horns and tried to hold on tight, for fear of being ripped to shreds, left bloodied and battered.","Holly Hood, Polar","inspiration, life, reality"
As soon as you start fulfilling your purpose your adversaries will appear,Sunday Adelaja,"adversaries, calling, fulfillment, purpose"
"War never takes a wicked man by chance, the good man always.",Sophocles,"good, man, chance "
How can we prepare for the future if we won’t acknowledge the past?,"N.K. Jemisin, The Stone Sky","future, past"
Negative desires can cause no evil if you do not allow yourself to be seduced by them.,"Paulo Coelho, Maktub",inspirational
It is left only to God and to the angels to be lookers on.,Francis Bacon,god
Each city receives its form from the desert it opposes.,Italo Calvino,"future, past"
"Richard Nixon coveted, to the point of obsession, a controversy-free, stage-managed coronation.","David Pietrusza, 1960--LBJ vs. JFK vs. Nixon: The Epic Campaign That Forged Three Presidencies","approval, leadership, popularity"
"In what concerns you much, do not think that you have companions: know that you are alone in the world. ",Henry David Thoreau,"friends, life"
Ah coffee. The sweet balm by which we shall accomplish today's tasks.,"Holly Black, Ironside","corny, funny, ironside"
"Change is uncomfortable, but it’s helpful!","Israelmore Ayivor, Six Words Inspiration","6, change, comfort, comfortable, help"
"Keep the personal, personal and do not be guilty of spreading bad feelings.","John Patrick Hickey, Oops! Did I Really Post That","civility, etiquette, kindness, manners, personal-development"
"One thing God has been showing me is that I'm not called to save the world, just to point those He places in my life towards the right way.",J.R. Rim,"bible, call, calling, direction, eternity"
Sometimes she thought the Creator had only made men to cause trouble for women.,Robert Jordan,"men, relationships"
"Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.",Charles Kingsley,"chivalry, romance"
One of the hardest expressions of self-assertiveness is challenging your limiting beliefs.,Nathaniel Branden,"psychology, self-esteem"
Gentleness doesn't get work done unless you happen to be a hen laying eggs.,Coco Chanel,"done, you, eggs "
The men who are dropped in a jungle or a desert and expected video games and got mundanity and depravity and friends dying like animals.,"Dave Eggers, Your Fathers, Where Are They? And the Prophets, Do They Live Forever?","animals, depravity, desert, friends, jungle"
I had fallen too far. I was in love with Rush Finlay.,"Abbi Glines, Fallen Too Far","contemporary, love, new-adult, romance, young-adult"
Be careful of what you allow your mind to dwell on. And the words that come out of your mouth.,Lailah Gifty Akita,"mindset, wisdom"
I will find comfort in the rhythm of the sea.,Charlotte Eriksson,"lit, litquote, lyric, poetry, prose"
Things had improved after he was born. We both loved him with such fervor that it was impossible that some wouldn’t splash back on us.,"Thomm Quackenbush, Of Christmas Present","children, love, parental-love"
Someone needs to put a muzzle on President Trump sooner rather than later.,Steven Magee,"aggression, bomb, politics, president, psychology"
"It is completely raw, the sort of thing I feel free to do with the door shut—it’s the story undressed, standing up in nothing but its socks and undershorts.","Stephen King, On Writing: A Memoir of the Craft","fiction, onn-writing"
Art enables us to find ourselves and loose ourselves at the same time.,"Thomas Merton, No Man Is an Island","art, art, finding, life, loosing"
Truth doesn’t need to be defended. Truth just is.,"Dragos Bratasanu, Sleepers: A Little Book on How to Find Hope, Meaning and the Courage to Fall in Love with Your Dreams", truth
"The big thinking gives us vision, power and direction, but it is the small steps that are the action of the process.","John Patrick Hickey, All You Have Is Now: How Your Approach to the World Determines Your Destiny","achievement, action, goal-setting, goals, personal-development"
"Lila!"" he said cheerfully. ""So you aren't a figment of my brothers imagination after all.","V.E. Schwab, A Gathering of Shadows","brothers, funny, imagination"
"I went to him in the doorway and embraced him tightly. ""Thank you,"" I whispered. ""You've done so much for us, and we've done nothing for you.""""Don't say that."" Vic's hands patted my back. ""You're my friends. Nothing else to it.","Claudia Gray, Afterlife","afterlife, bianca-olivier, evernight-series, friends, friendship"
Life is Won when you learn to run in the Sun and have Fun before Life is done.,RVM,"inspiration, motivation"
I want to speak to the dream in your heart. That dream that has taken a backseat as you have strived to live up to something different.,Suzette R. Hinton,"dream, inspirational-life"
"We stumble on, thinks Jaslyn, bring a little noise into the silence, find in others the ongoing of ourselves. It is almost enough.","Colum McCann, Let the Great World Spin","awesomesauce, humanity, truth"
"When we are loving, we openly and honestly express care, affection, responsibility, respect, commitment, and trust.","bell hooks, All About Love: New Visions"," bell-hooks, expression, love, loving"
"They told us love was a disease. They told us it would kill us in the end.For the very first time I realize, that this, too, might also be a lie.","Lauren Oliver, Delirium","deliria, die, disease, lie, love"
"Hundreds of thousands of American servicemen and women are deployed across the world in the war on terror. By bringing hope to the oppressed, and delivering justice to the violent, they are making America more secure.",George W. Bush,"women, justice, war "
Life is worth living but not worth thinking about.,Marty Rubin,"life, thinking, thought"
"My greatest concern is not whether you have failed, but whether you are concerned with your failure.",Abraham Lincoln,"failure, hope, humility, success, wisdom"
We can do nothing without prayer. All things can be done by importunate prayer. It surmounts or removes all obstacles  overcomes every resisting force and gains its ends in the face of invincible hindrances.,E. M. Bounds,prayer
"Many people in this world want you to follow them blindly, no questions asked , they wanna control your fate, your heart, soul & thoughts, I tell you...Follow your heart , listen to what it has to say .",Sami Abouzid,love
"If the willingness is there, you can graciously fulfill your dream.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","adventure, courage, daring, determination, dont-quit"
"Oh, he did his best to make their short lives miserable, because that was his job, but nothing he could think up was half as bad as the stuff they thought up themselves.","Terry Pratchett, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",people
"When you tend to another's dying embers, you find both warmth and an increase in the glow of your own fire.","Richelle E. Goodrich, Smile Anyway","assisting, helping, helping-others, kindness, richelle-goodrich"
All you need is a vision and everything else will fall in place. Trust me,Charmaine J. Forde,"everything, fall, need, place, trust"
Keep moving. Don't get bogged down. Don't think about the bad stuff. Smile and joke even when you don't feel like it.,Rick Riordan,"book, books, couple, death, hate"
"Destiny brought two souls, Jeremiah and Lailah Akita, to light the world with love.",Lailah Gifty Akita," light, love, marriage, souls"
It's not easy to get close to anyone.... Everyone's afraid of everybody else.... maybe because we're all afraid of ourselves.,Ellen Hopkins,"fear, self-worth"
"Just fancy! One can hear and see the grass growing,' thought Levin, as he noticed wet slate-coloured aspen leaf move close to the point of a blade of grass.","Leo Tolstoy, Anna Karenina","grass, growth, nature, spring"
Kindness is the best style that you can wear anytime and anywhere.,Debasish Mridha,"best-style, debasish-mridha, kindess, philosophy"
"For spiritual vision of our soul, we need to balance between quantitative illusions & qualitative reality of our life.",Aditya Ajmera,"awareness, illusion, soul, spirituality"
